segment	proposition	belief_type
Pero de todas formas, como mujer, [pienso] que es daros una mala imagen.	pienso	HREL
"Hace [relativamente] poco me empece a interesar por la historia de las matematicas, encontre un libro bastante interesante ""la hitoira de las matematicas"" Development of mathematics, de E T bell, aunqeu un poco viejo (1940) parece ser un de las fuentes mas relevantes sobre el tema hasta nuestros dias (mencionado por Gardner ) en inteligencias multiples."	relativamente	HPROP
Para una persona que [virtualmente] no	virtualmente	HPROP
"Pero si lo que vas a hacer es arriesgar tu nueva cuenta despreciando la autoridad de Kaerog para alimentar tu pequeño ego te [sugiero] que te arriesgues en cosas mas productivas y no en jugar al ""superhombre"" de una manera tan ridicula en un foro."	sugiero	HREL
Vuelvo a repetir, [quiza] no sea la acepción más ortodoxa de la palabra pero yo experimento una sensación, que es la elección, y a la que tengo que darle nombre.	quiza	HREL
Un niño no tiene personalidad porque los padres deciden por él; a medida que crezca, ese niño irá desarrollando sus gustos y creencias, [generalmente] ayudado por sus amigos, ya que son los que le darán un aire fresco a su perspectiva en la vida.	generalmente	HPROP
Y dentro de este universo de informacion los [pienso] a cada uno de ustedes y cuando lo hago me doy cuenta de que todos damos risa y todos nos reimos y nos burlamos de todos.	pienso	NH
Y si no lo pierde, entonces [pienso] que el oficial deberia darse EL LUJO de golpearlo de todas formas como defensa personal.	pienso	HREL
"De [la mayoria] de los temas ya esta en cierta manera ""resuelto"", creo que los que nos preocupa a nosotros es la muerte desde un punto de vista emocional (si es algun ser querido), o como proyectandola hacia nosotros, como un futuro totalmente cierto (algo ams metafisico)..."	la mayoria	HPROP
o [tal vez] todas son validas bajo determinadas cirunstancias.	tal vez	HREL
Pero no adoptan medidas para evitarlo, simplemente tienen un modelo de negocio que está [parcialmente] a salvo de la piratería.	parcialmente	HPROP
Si consideramos los mensajes mediáticos se hace patente que la imagen del hombre sufriendo o recibiendo dolor es harto [frecuentemente] difundida a través de los medios, sin que esto, por tratarse de un hecho tan generalizado, represente ningún tipo de efecto chocante.	frecuentemente	HPROP
Y aunque no fuera su intencion, no lo [podria] hacer.	podria	NH
Yo soy master de [varios] juegos de rol, como bien he leido por ahi atrás la idea de jugar a rol es interpretar lo que no somos, o lo que no podemos ser, la simple interpretacion ficticia de un personaje, como si fuese una obra de teatro con tus colegas.	varios	HPROP
Bueno agreguen de su cosecha o vean la película, que la verdad está en todos lados, acoto como llegue a la película y exponer la idea al foro estoy interesado en las vibración producidas por los instrumentos de viento, así estaba viendo en mercado libreen instrumentos y apareció un oboe a dije voy a escuchar como suena y entre a youtube, apareció Ennio Morricone - La Mision donde [suena] un oboe, bien luego dije a voy a ver la película para ver en qué momento se produce la música y las imágenes como para entender musicalmente la composición del autor, y claro doy con la idea de que es una analogía a la caverna de platón mas menos, además de plantear el desapego de lo material y miedos, liberarse de la mente y el ego es liberarse del miedo.	suena	NH
Porque lo que yo [entiendo] por fuerte no es lo mismo que lo que tu entiendes por fuerte.	entiendo	HREL
La cosa es que cuando tomamos una decisión, [parece] que tenemos libertad de elegir, pero realmente jamás podrías haber decido lo que no decidiste.	parece	HREL
Pues dado que en un sistema capitalista 'matas o mueres', no puedes darte el tiempo para tu salud, ni respiras aire puro pues todos necesitan de vehículos por apurados que están (y así comienza la larga campaña por contaminar lo [poco] que nos queda d mundo).	poco	NH
Por otro lado, se puede decir que lo que se no se puede imaginar no [necesariamente] no existe, ¿o si?	necesariamente	HREL
Un problema que [deberias] revisar es que no convences.	deberias	HREL
Personalmente te [sugiero] El Método de Descartes, del que aprenderás alguno que otro secretillo interesante jo jo; después, lo que sea que te encontrés.	sugiero	HREL
Intento descubrir de donde procede, al final [encuentro] una caja de color negro, pequeña, de forma rectangular, en la parte superior hay una rejilla y unos botones; ¿Qué será eso?... después de meditar unos minutos me doy cuenta de que se trata de una radio, una cosa que hacia años que no veía, me conformaré con ella.	encuentro	NH
Ya sabeis, una de las razones por la que la masa esta cada vez más aborregada, es por inclinación genética, pobres, aunque eso me lleva a una pregunta, ¿sin este aborregamiento inducido genéticamente [podria] sostenerse esta sociedad?	podria	HREL
Estuve leyendo [varios] temas de ese apartado y me queda lamentar la actual ausencia de Trini y Lopenovi, usuarios a los que da gusto leer.	varios	HPROP
Por supuesto todo esto es a nivel teórico, y si, como comento es [bastante] idealista, pero prefiero este tipo de teorías utópicas a determinismos o relativismos morales.	bastante	NH
En este país hay pocos que piensen como zapatero, como mucho habrá gente que piense como zapatero dice que piensa, pero sus actos y sus palabras [raramente] se corresponden.	raramente	HPROP
"[creo] que no tiene nada que ver con un ""individuo""."	creo	HREL
El que sea hereditaria simplemente garantiza que se evite su subasta al mejor postor, y nuevamente los intereses de por [medio], y que quien desempeña el papelito esté formado en exclusiva para eso.	medio	HPROP
No las esperes pronto, pues [la mayoria] de las veces mis lecturas son cuando estoy en cierto asuntillo en el tocador.	la mayoria	HPROP
Dada nuestra posibilidad de controlar nuestro destino [parcialmente], el destino global del ser humano está en parte legislado por algo desconocido y por nosotros mismos.	parcialmente	HPROP
Entonces no habia esa gran ayuda de los [multiples] universos...	multiples	HPROP
Bien, por otro lado veo que no ha negado mi queja, [asumo] que la acepta, entonces puede tomar el consejo señor Tomás.	asumo	HREL
Me [parece] interesante este tema, la verdad es que yo tuve perros (dos) desde pequeño hasta ahora.	parece	HREL
Y aunque [no se] hace lo que yo quiero, se hace algo que considero saludable.	no se	NH
Si tuviera que servir como etiqueta de presentación, lo sería porque modestamente [asumo] como propios los rasgos más característicos del filósofo holandés: un materialismo equidistante tanto del ramplón mecanicismo como del monismo metafísico; un racionalismo crítico; una teoría del conocimiento que se prolonga, a su vez, en una teoría de las pasiones, según la cual los hombres no somos sólo pura razón, ni puro sentimiento, sino una mezcla indisociable de ambos; una ética superadora de los clásicos dualismos, basada en la búsqueda la felicidad, pero siempre bajo la guía de la razón (o sea, bajo principios de justicia); y una filosofía política defensora de la libertad y de la democracia.	asumo	NH
El esfuerzo teórico de Max Weber, el más importante sociólogo político del siglo XX, dará en cierta forma continuidad a esa reflexión iniciada tempranamente y romperá, al mismo tiempo, con [algunos] de esos presupuestos clásicos.	algunos	HPROP
Pero esto es muy complicado y [parcialmente] subjetivo, considero que detras de este gran problema están implicados de lleno los gobiernos mundiales, ¿Por qué no ponernos de acuerdo para igualar las condiciones?	parcialmente	HPROP
Era una tarde de julio [particularmente] calurosa y húmeda y llegué a su casa empapado en sudor, después de un corto desplazamiento desde el pueblo.	particularmente	HPROP
Y esta manera que yo [propongo] en opinión personal (claro está) y que apoyo, es una manera conciente.	propongo	NH
Debo reconocer que el video me ha chocado [un poco].	un poco	HPROP
Yo tuve mi etapa super-hombre, [por decir algo], vamos si la tuve, hice cosas que traspasan lo correcto tan solo para llenar mi ego (no es aquí lugar para debatir de Nietzsche, estoy contando mi vida).	por decir algo	HPROP
Porque si te tienes que guíar por lo que es rentable y lo que no para que tu empresa funcione, pues encontramos que ayudar a la gente MUY [raramente] va a resultar rentable.	raramente	HPROP
Cuando Tito (así lo llamaban sus amigos) era un estudiante muerto de hambre en el México de mediados del siglo XX, vivía en una residencia con [varios] congéneres, entre los que destacaba uno muy grande y hablador apodado el dinosaurio.	varios	HPROP
"Pero pon un video donde se les vea cantar... yo empecé el hilo con esperanza de que personas que nunca se hayan acercado al carnaval, escuchándolo se acerquen un poco más, porque yo tengo la convicción de que cualquier persona que escuche [un par] de canciones ""buenas"" de carnaval acabará gustándole."	un par	HPROP
Evidentemente esto funciona dentro de un circulo [reducido] con personas especificas, por lo que no siempre tiene por qué funcionar tan bien, lo que además implica que...	reducido	HPROP
"De hecho hoy mismo le he planteado a un eterno currante [un par] de cosas al respecto y me ha dicho: ""¿y qué? aunque así fuera nunca lo vas a saber y aunque lo supieras no puedes hacer nada al respecto."	un par	HPROP
Por poner un ejemplo, un físico recién licenciado que superia escribir, en la carrera de filosofía no tendría prácticamente problemas (a parte de los obvios que requiere empollar) porque su manera de ver las cosas está mucho más entrenada que otro que va a filosofía directo (que [probablemente ]está mucho más abierto a ser manipulado).	probablemente	HREL
Vemos algo, lo interpretamos y lo representamos, ahi esta la creacion, no en lo que [se ve].	se ve	NH
En los países civilizados [casi] todos los hombres son iguales en cuanto al hecho de buscar trabajo para obtener un salario: para todos ellos el trabajo no es sino un medio, no el fin en sí; por eso son poco exigentes al elegir trabajo, el cual sólo les importa por la promesa de la ganancia, siempre que esta sea considerable.	casi	NH
Y nosotros que, los artistas los filósofos que, pisoteados,no cabemos en los modelos de la normalidad,[tal vez] amamos,soñamos como todos,disfrutamos de un día de sol como los normales,pero se nos niega todo esto,mientras no dejemos de ser creativos en exceso y pongamos en peligro su laberinto.	tal vez	HREL
- Si quieres charlar de si corresponde o no ser católico, te digo [mas o menos] lo del primer punto.	mas o menos	HPROP
Las dimensiones extra estarían compactificadas, o sea; [mas o menos] imagínate una manguera, si la observas de lejos verás sólo una línea, parece unidimensional; pero si la observas de cerca es un cilindro, o sea; ya es bidimensional....	mas o menos	HPROP
En cualquier caso, lo que hace que triunfe una persona, concluyendo, [diria] que es al margen de si es cualitativamente mejor o peor.	diria	HREL
mmm... Ya [algun] presocratico hablo de la necesidad del azar.	algun	HPROP
Sin embargo en todo plan hay algo de incertidumbre, y que algo segun una teoria deba funcionar a la perfeccion no significa que [necesariamente] lo hara, aun cuando las mediciones nos parezcan exactas.	necesariamente	HREL
Yo no me [considero] un Dios ni considero que tengo tanto control, yo la verdad me considero un peon mas que tiene como principal funcion conseguir dinero para gastarlo y vivir una vida dentro del sistema.	considero	NH
futuro: [aparentemente] le otorga un valor infinito, para que con esta autoconciencia	aparentemente	HPROP
Todas ellas, y de forma independiente, narraban una secuencia que parecía seguir un mismo patrón: audición de un zumbido extraño; visión del propio cuerpo visualizado desde fuera; sensación de encontrarse en un túnel oscuro, al final del cual se percibe una luz; [encuentro] con familiares o amigos anteriormente fallecidos; un diálogo con un ser luminoso; visión retrospectiva de la propia vida... hasta experimentar el regreso al cuerpo, con un posterior cambio de valores vitales y una nueva percepción del fenómeno de la muerte.	encuentro	NH
Si todo es posible, creo, no estoy muy [seguro], que prefiero la continuidad.	seguro	HREL
Significa que para ser un ser humano feliz [debe] respetar su naturaleza femenina y no buscar ser IGUAL AL HOMBRE.	debe	NH
"Me imagino que hay personas que muy en el fondo saben que no pueden ser 100% benevolentes, incorruptibles ni nada por el estilo, asi que creo que si vieran que alguien ""le sigue los pasos"" o ""depende de ellos emocionalmente"" y cosas por el estilo [probablemente ]se aprovecharian de la persona y de la situacion en algun momento."	probablemente	HREL
"supongo que ser iluminado llega al descubrir la ""verdad"" a ver la realidad de la verdad, y despues de eso ""subes de nivel"" xD aunque [seguramente] la verdad para uno para mi sea tan solo supunto de vista, ya que yo tendre que encotnrar mi propia verdad."	seguramente	HREL
"Y bueno, la parte religiosa se equivoca en interpretar la Biblia de una manera tan literal, ellos piensan que donde dice "" Y Dios [creo] al hombre y a la mujer a su semejanza"" piensan que de repente un hombre y una mujer aparecieron de la nada."	creo	HREL
"Las propuestas de ""municipalismo libertario"", de Murray Bookchin, o de ""política participativa"", de Stephen Shalom, son [particularmente] interesantes."	particularmente	HPROP
La mayoría de los sistemas de riego funcionan de manera ineficiente, por lo que se pierde [aproximadamente] el 60 por ciento del agua que se extrae, que se evapora o vuelve al cauce de los ríos o a los acuíferos subterráneos.	aproximadamente	HPROP
Genera nuevos órganos conforme incrementa su complejidad, la máquina es incapaz de cambiar, a no ser que [alguien] la cambie.	alguien	HPROP
Creo que tienes un pensamiento demasiado medieval, [deberias] dejar el Age Of Empires y salirte fuera a ver como es la calle, el mundo ha cambiado bastante, vale la pena...	deberias	HREL
Disculpa,lebensraum...una corrección:en el planeta hay [aproximadamente] 6.000.000.000 de seres humanos(seis mil millones).	aproximadamente	HPROP
El otro, séase el que se fuere, por lo menos tal vez, aunque con rostro insolente, puso los ojos en ti, [tal vez] te oyó, y tal vez te admitió a su lado, y tú jamás te has dignado de mirarte ni oírte.	tal vez	HREL
Yo, [particularmente] estaría más de acuerdo con Hume; empirista que contrapone que la mente es como un libro en blanco.	particularmente	NH
No debes abstenerte, al contrario, habla, grita, pero lo que no puedes pretender, es que [de repente] tu gobernases el mundo (puede pasar en cualquier momento...) o apoyar la idea de que alguien que tu consideras noble lo haga.	de repente	HPROP
Ahora solo estoy informado hasta la época [aproximadamente] de ortega y gasett, dado que un libro me dio todos los conocimientos de filósofos y teorías, pero el libro fue hecho en 1952 y obviamente no habla sobre mas autores que los de hasta esa época.	aproximadamente	HPROP
Por suerte [rara vez] es posible probar ese trastorno.	rara vez	HPROP
Hay quien dice que Cuba es una maravilla y [hay quien] dice que Cuba es una miseria (para ilustrar).	hay quien	HPROP
No creo haber dicho nunca nada parecido a que conozca la realidad objetiva, así que has debido de leer mal [bastantes] cosas mías para considerar que algo así es propio de mí.	bastantes	HPROP
El arte, entendido tal y como se entiende actualmente, es todo aquello que no tiene objetivo [alguno], que es creado para nada.	alguno	HPROP
Por ende tratar de crear un robot humano sería tratar de comprimir el comportamiento humano a 128 carácteres, lo cual es [virtualmente] imposible.	virtualmente	HPROP
La experiencia es subjetiva y el tiempo [a veces] va mas lento y a veces mas rapido (cuando hablo de tiempo subjetivo me refiero a experiencia del cambio).	a veces	HPROP
He colocado también a una mujer con [varios] hombre como imposibilidad de formar familia por el hecho, que a los varones, les sería imposible reconocer su paternidad sobre los hijos de su mujer.	varios	HPROP
Para que la filosofía siga su avance tiene que tomar en cuenta un factor muy importante que creo se ha dejado de lado porque tiene relación con una disciplina [relativamente] nueva que es el estudio de la psiquis y el inconsciente.	relativamente	HPROP
"Pues incluso ""angulo"" es una invencion nuestra que nos ha servido para referirnos a [algo] que hemos observado no? Cualquiera podria ponerle el nombre de ""angulo"" a cualquier cosa si quisiera, entonces la idea de lo que es un ""angulo"" se vuelve algo relativo, por lo tanto la ""Verdad"" sobre lo que se llama ""Angulo"" depende nuevamente desde la perspectiva que veamos las cosas."	algo	NH
si me pregunto a mí misma quién soy, tal vez no sepa explicarlo en una definición, pero tengo claro qué quiero, qué [siento], etc, así que en conjunto y si lo intento llegaría a una respuesta bastante acertada.	siento	NH
En el caso del alcohol ya se ha dicho muchas veces que sí, genera una dependencia física, pero otras drogas no lo hacne, la adicción es psicológica y se requiere de un consumo [bastante] habitual de la misma para que se desarrolle.	bastante	HPROP
Yo no pienso eso.En muchos casos la moral de rebaño es el conjunto de reglas éticas y morales que enseña,predica e impone el pastor a un conjunto social(las ovejas) sobre el cual tiene predominio.Pero el pastor puede no seguir o comportarse en su vida de acuerdo a esas normas que enseña y propone,quizá [parcialmente],ya que algunas otras reglas serían sólo para tomar control sobre los demás y por ende no serían necesariamente dictados de su propia conciencia.	parcialmente	NH
Ya [tal vez] luego pueda darse cuenta de la tonteria que se hace al intercambiar libertad por seguridad, y eso seria algo bueno.	tal vez	HREL
No sé si lo di bien a entender, pero el tabaco en mi opinión sería una de las drogas menos recomendable, pues lo considuro [practicamente] inutil por su relación poco beneficio contra gran poder adictivo, el alcohol es un arma de doble filo cuyos beneficios son más notorios, a pesar del riesgo que esta droga conlleva.	practicamente	HPROP
"Te advierto que hay algunos mensajes de un usuario llamado ""nemo"" que tienen [poco] que ver con el tema y que lo desvían, pero puedes seguir leyendo que más adelante se sigue hablando de los sueños."	poco	HPROP
1. En el primer mensaje intente hacer un chiste ironico (al parecer sin exito), pense que añadiendo este emoticon , los que lo leyeran lo iban a entender (pero [parece] que no fue asi en tu caso...)	parece	HREL
Sí reconozco que me da sentimiento cuando hay enfrentamientos, pero [supongo] que es inevitable y yo los he tenido.	supongo	HREL
No es posible demostrar la inexistencia de algo, ya que de la nada no se puede explicar nada (eso un absurdo), es decir, si tu me argumentas que me crea a priori algo que no es demostrable existencialemente estás pidiendo el principio (falacia), y ésto es con lo que juega todo creyente para defender sus ''creencias'', pero esto es retórica pura ya que parte del supuesto de que cabe tal posibilidad, y esto es lo que está por demostrar (si es que es posible (sic)) por parte de ellos, por mi parte digo que (yo me [considero] ateo, no agnóstico como al parecer tu te declaras entrelíneas) la existencia supone la posibilidad de ella y ésta a la vez presupone la necesidad.	considero	NH
¿Y que [alguien] que gana la mitad de dinero que tu, o el doble?	alguien	HPROP
Me referia al hecho de que es [un poco] falta de realismo decir que las drogas en si son neutrales, que depende de quien las use, cuando una mayoria de personas las usa mal.	un poco	HPROP
Si me preguntas que qué tiempo hace hoy y te digo el tiempo que hace en todas las poblaciones del mundo sin ninguna clase de indicación acerca de cuál es en la que vives, la respuesta será completamente cierta y no se contradice (que ya es más de lo que se puede decir de la filosofía) pero [seguramente] no te valga para absolutamente nada.	seguramente	HREL
Esta pregunta se parece mucho a una que ya hice; pero [tecnicamente] no és la misma.	tecnicamente	HPROP
Al margen de conspiranoias como esa, hay [bastantes] respuestas interesantes.	bastantes	HPROP
([por decir algo]) tu espiritu está más elevado que si eres un hombre sucio, descuidado, irascible, e impaciente.	por decir algo	HPROP
¿por que soy asi? pues [supongo] que por varios factores.	supongo	HREL
Creo que a día de hoy son bastantes más años.El juego viene estando anunciado desde el 98-99 [aproximadamente].	aproximadamente	HPROP
Pues yo no soy de ciencias políticas, no sé si habrá [alguna] teoría milagrosa que dé respuesta al enigma, pero yo tengo una relacionada con mi disciplina que podría ser válida.	alguna	HPROP
Dice usted que no será dogmatica y a reglón [seguido],articula ua serie de dogmas indiscutibles.	seguido	NH
Primero la gente que vota al PSOE [de repente] tendría que pensar que lo ha hecho mal y dejarles de gustar, y si les ha seguido gustando hasta ahora la probabilidad de que esto pase es poca.	de repente	HPROP
me siento con mis amigos a charlar sobre la vida y [casi] siempre concordamos en algo que mas tarde los veo contradecir con sus acciones.	casi	NH
Yo [considero] que, puesto que tambien es dificil encontrar la salida en las carreras con mas salidas, en el fondo estas mas bien en la alternativa de estudiar lo que te gusta o lo que no te gusta.	considero	HREL
fe razonada,,me [suena] a creencia con culpa..necesito justificar ante el mundo y ante mi que creo y porque creo ?	suena	HREL
Pasaba por ser, en tercer lugar, [esencialmente] incesante (recorriendo por su propia virtud una órbita recta o en forma espiral).	esencialmente	HPROP
Obviamente, la primera opción es bastante más realista; pero si te divierte más la segunda [deberias] decantarte por ésta.	deberias	HREL
Interesantes los datos que se menciona acerca del estudio del asesinato de animales no humanos a causa de mplacer, sin embargo esta operacion animal racional del matar por matar es muy concreta [basicamente] porque estamos fuera del alcanze de consevir una racionalidad animal no humana, con base en esto reitero que decimos que el hombre y solo el como ser pensate, dualista intweraccionista activo entre su yo y su ello es el unico que de manera formal hace un procesamiento mental de sus desiciones y elecciones, en este caso matar.	basicamente	HPROP
Y en esto, además, no sólo se ha de tener en cuenta lo que se hace, que se refiere a teorías económicas, de agentes, etc., la principal diferencia con el funcionalismo es considerar la felicidad personal del individuo a evaluar, que [raramente] será alta odiando, como en el ejemplo, todo lo que existe.	raramente	HPROP
muy buena presentacion, [espero] que disfrutemos compartiendo puntos de vista :3 nos vemos por la red? xD	espero	HREL
Pero Johny siempre me pareció el mejor, [seguido] de cerca por el ninja ese que nunca recuerdo el nombre.	seguido	NH
Cuando yo no [entiendo] algunas frases de Jvan, simplemente le pregunto.	entiendo	NH
Respecto al ladrillo con el simbolo todo está claro, un albañil iluminatí participaba sin duda en la construcción del edificio, puso ahi el ladrillo y [probablemente ]se vengase de todos nosotros haciendo un pobre trabajo en el alicatado del servicio.	probablemente	HREL
Lo que significa que el ser no sólo se muestra en el siendo, sino en algo que muestra su inevitable retroceso; y lo más y menos que ser, en [algo] que muestra su inagotable posibilidad.	algo	NH
Si existiera tal ser nos pondría a muchos en susitio [creo] yo xD.	creo	NH
Sin embargo, si creés en la realidad subjetiva, [deberias] rechazar la pregunta completamente.	deberias	HREL
Por lo que respecta, aunque esta palabra no es apropiada, a las «tesis», y concretamente a aquella que concierne a una diferencia irreductible a la oposición dialéctica, una diferencia «más profunda» que una contradicción (Différence et Répètition), una diferencia en la afirmación felizmente repetida («sí, sí»), la asunción del simulacro, Deleuze sigue siendo sin duda, a pesar de tantas diferencias, aquel de quien me he considerado siempre más cerca de entre todos los de esta «generación», jamás he sentido la menor «objeción» insinuarse en mí, ya fuese [virtualmente], contra ninguno de sus discursos, incluso si ha sucedido a veces que haya protestado contra tal o cual proposición de L'Anti-dipe (se lo dije un día mientras volvíamos juntos en coche de Nanterre, después de haber asistido a la lectura de una tesis sobre Spinoza) o tal vez contra la idea de que la filosofía consista en «crear» conceptos.	virtualmente	HPROP
No lo creo, [quiza] te estés refiriendo a estar satisfecho con tu vida, eso si se puede controlar mas.	quiza	HREL
"Compartiré algo contigo: yo aun no doy ningún paso, ¿estoy atemorizado?, aquí estoy hoy sin trabajo ni cursando estudios, ¿perdiendo el tiempo?, de vez en cuando me agobia la exigencia de ""hacer algo con mi vida"", ¿no estoy haciendo nada?, veo a todos trabajar o estudiar o ambas cosas, sin embargo soy el más sano, el más alegre, el más inteligente, al que todos hayan la razón, al que algunos porfían sin éxito (te hablo de mi [reducido] círculo de conocidos)."	reducido	HPROP
([por decir algo]).	por decir algo	HPROP
Los animales poseen sentimientos e inteligencia (no a nuestro nivel [aparentemente]).	aparentemente	HPROP
Así pues, al abordar esta situación, algunas personas llegan a la con­clusión de que la naturaleza humana es [basicamente] agresiva.	basicamente	HPROP
El conocimiento nunca es negativo, pero sí puede ser [a veces] el uso que se haga de él.	a veces	HPROP
Y yo no soy fumador (aunque muy [ocasionalmente] haya fumado alguna vez), pero defiendo a los fumadores.	ocasionalmente	HPROP
La máquina [esencialmente] está diseñada para interactuar con la inosfera, una capa de la atmósfera permanenetemente cargada de electricidad por el efecto dinamo del movimiento de rotación terrestre.	esencialmente	HPROP
Por ejemplo en la edad media, una buena manera de mantener el control era utilizando ilusiones mentales como la magia o la religion para infundir el temor hacia [algo] que dicta y controla la vida de los seres humanos (Dios).	algo	NH
Me es fisicamente imposible, en 10 minutos tengo ya los ojos rojos pero si he podido hacerlo desde mi celular y no [siento] cansancio en los ojos.	siento	NH
