segment	proposition	belief_type
Y le refiero nuevamente lo que he escrito sobre la aletheia y el lethos no por que quiera repetirme no para que no quede esto último dicho de Dios como fundamento no es tan fundamenta quede en el aire sin explicación [alguna] y además la conclusión que asumo que para mi es importante en este punto que ante la imposibilidad de consenso se deben fijar las posiciones:	alguna	NH
Yo voy más allá,...¿Trazas de vidas anteriores o futuras?...[quien sabe]..	quien sabe	HREL
"Seria algo parecido al concepto de ""humano"", [sin duda] vemos a muchos humanos por todos lados, pero unos niegan la humanidad de otros por mil diferentes razones, reduciendolos a animales, insectos, salvajes, gusanos, etc, etc."	sin duda	HREL
"Y [necesariamente] llego a decir ""no hay problemas filosoficos"" o mejor dicho ""no hay problemas metafisicos"" ¿No es una forma de obviar?"	necesariamente	NH
Bueno antes que nada me presento, me llamo Luciano y desde siempre me ha gustado la filosofía y los debates filosoficos, como mi registración lo indica tengo 16 años y [espero] que esto no sea un obstaculo para el debate y la relación con los demás usuarios, saludos.	espero	HREL
El filosofar [supongo] que es por la negativa de querer desaparecer y que no quede nada de uno, y creo que es bueno filosofar sobre este tema sobre todo si enriquece para poder ser mas llevadero el camino hacia el morir	supongo	HREL
Si vamos a lamentarnos de algo, bien, eso demuestra un deseo de superacion, lo cual es importante, hay [algo] que perturba y molesta.	algo	NH
Cuando el medio cambie, [confio] en que la madre naturaleza nos ayudará a evolucionar.	confio	HREL
Asimismo era el camino de Jarry cuando desarrollaba su curiosa tesis sobre la anarquía: en el hacer-desaparecer, la anarquía tan sólo puede funcionar [tecnicamente], con máquinas, mientras que Jarry prefiere el estadio estético del crimen, y sitúa a De Quincey por encima de Vaillant.[xviii]	tecnicamente	HPROP
"Quiza para ser mas preciso [podrias] decir ""Queremos vivir""."	podrias	HREL
De hecho, que nos sintamos felices o desdichados en un momento determinado [frecuentemente] tiene que ver sobre todo con la forma de percibir nues­tra situación, con lo satisfechos que nos sintamos con lo que tene­mos actualmente.	frecuentemente	HPROP
Bueno, creo que estás hablando de casos extremos donde es evidente que [no se] ha hecho una buena utilización de la droga.	no se	NH
Personalmente creo que estas clases que organizaciones deben tener un timepo de vida [relativamente] corto, por ejemplo llegado su memento la asociacion de enfermeras negras de EEUU decidio autodisolverse, pues considero que a partir de ese momento su existnecia seria contraproducente en la busqueda de igualdad de derechos.	relativamente	HPROP
Pues [supongo] que tendrá que ver con nuestra cultura.	supongo	HREL
un documental de la BBC acerca de la psicologic que se centra [principalmente] en el psicoanalisis.	principalmente	HPROP
Para mi es puro y duro egoismo humano, y con ello creo que superamos el salvajismo animal en este aspecto, ellos matan generalmente por la necesidad de alimentarse y [rara vez] lo hacen por diversion.	rara vez	HPROP
La teoría de cuerdas en mi opinión no es ninguna tontería; aunque no se puede negar que tiene cierto carácter especulativo por el hecho de que estamos hablando de distancias de Planck, lo que hace muy difícil o casi imposible la comprobación experimental, sin embargo, existen ciertos modelos matemáticos que describen satisfactoriamente esta teoría aunque llevan a resultados [aparentemente] contradictorios.	aparentemente	HPROP
Ojos que no ven, corazón que no siente, [supongo].	supongo	HREL
Y [quien sabe] si tal vez solo el enfermo piensa en cosas más saludables y el saludable precisamente en la exuberancia, en lo que corrompe; Pero el saludable no deja de pensar saludablemente y el enfermo - enfermamente.	quien sabe	HREL
El control se ejerce cuando el rebaño se siente [reducido], devalorizado e insignificante ante la capacidad sobrehumana de alguien.	reducido	NH
Análisis posteriores concluyen que una [gran parte] de las culturas comparten un aborrecimiento psicológico hacia la práctica de relaciones sexuales o la tenencia de relaciones de parentesco adicionales entre individuos de la misma familia vinculados por otra relación de parentesco previa.	gran parte	HPROP
En realidad estoy solo siguiéndole el diálogo a Luxfero, pero en realidad no le obedecería a nadie que use solo el artificio de sus sesos para subyugarme, porque creo que no [hay quien] me venza, si no es antes por mi oratoria será después por mi obstinación que triunfaré.	hay quien	HPROP
Al convertirlo en mártir por predicar su filosofía, hizo que esa filosofía [de repente] cobrase mucha más importancia.	de repente	HPROP
Esta conducta hace muy difícil de demostrar la idea [ocasionalmente] defendida por las corrientes más radicales del feminismo afirmando que el hombre considerase en el pasado, y dentro de la supuesta sociedad patriarcal, a la mujer como a un ser de valor inferior al suyo propio, al que explotar u oprimir en condiciones de semiesclavitud, y a sus hijos como una propiedad con la que prácticamente no mantenía vínculación afectiva.	ocasionalmente	HPROP
Estoy [seguro] que a ti te gusta la libertad de expresion para los temas que consideras que son opinables sin cortapisas, pero hay que acostumbrase que para otros esos temas son diferentes a los tuyos, y hay que respetarlo si tu quieres ser resprtado.	seguro	HREL
Si tomamos la jarra como recipiente producido, entonces, parece, la tomamos como una cosa y en modo [alguno] como mero objeto.	alguno	HPROP
La diferencia entre una bestia y un dios, pero las cosas [rara vez] son completamente blancas o negras.	rara vez	HPROP
Simplemente me [siento] contento de pensar libremente y poder compartir ideas con tod@s ustedes y sobretodo me siento contento por que aprendo.	siento	NH
Yo diría que todo el mundo está en la misma media de felicidad [mas o menos].	mas o menos	HPROP
En realidad el ente solo puede Ser (aunque tambien no-ser pero siempre desde un anterior «es» del que se derivaria su contrario: «no-ser»), pues en todo caso no habria ente [alguno], pues incluso de la cosa de lo que vemos decimos igualmente «es entidad», «es algo», se dice entonces que el Ser entanto asi mismo posibilita lo ente (pues todo ente es y sin «es» no habria algo asi como lo que llamamos ente, cosa, etc...), se dice entonces que hay Ser del ente, podemos entonces tambien decir que en tanto el Ser no es algo pero tampoco es nada, y que posibilita al ente como ente, el ente tampoco seria del todo algo y del todo nada, un signo, un fantasma como diria Platon, pues el Ser posibilita al ente a ser como es.	alguno	HPROP
Emm, esta gente(2 ùltimos) no [entiendo] que hacen a las 6 de la maniana posteando O.o	entiendo	NH
Si escribo algo, es porque siento que no se está tomando en cuenta, créeme que de otro modo no lo haría, me abstengo de opinar en muchos temas precisamente porque ya se ha opinado lo que yo opino o porque [siento] que no tengo qué cosa aportar que no sea una obviedad.	siento	HREL
Lo animado parece distinguirse de lo inanimado [principalmente] por dos rasgos, movimiento y sensacion,	principalmente	HPROP
Porque [suena] muy políticamente correcto, pero yo no lo creo.	suena	HREL
No quise ser estricto en la terminologia y pense que iba a pasar desapercibido... En realdiad lo que veriamos es la luz reflejada por la tierra, que proviene del sol ([principalmente])	principalmente	HPROP
De esa forma el sexo [podria] circular mejor, no haría falta pagar a nadie, nunca se llegaría a la explotación.	podria	HREL
Lo decía [medio] en broma, pero no conozco a nadie así.	medio	HPROP
Primero, es especies o es niveles de conciencia, no es lo mismo; si hubiera una especie como la humana pero con alas ([por decir algo]) sería probablemente más compleja en cuanto a especie pero no en cuanto a nivel de conciencia.	por decir algo	HPROP
Por mi parte [asumo] el título del hilo como la pregunta.	asumo	NH
Tengo claro como deberíamos funcionar, pero como estamos en el peor de los mundos posibles, que se funcione en el caos de todos los vicios humanos no me afecta, está previsto en mi cosmovisión.... Mi vida transcurre en ocasiones rodeada de imbéciles, otras veces de fantoches, de vanidosos, de descerebrados... y [rara vez] encuentro a alguien que me merece la pena -en el sentido comunicativo de la palabra-.	rara vez	HPROP
Voy por la pagina 134 de este libro y me doy cuenta que me esta ayudadando mucho y, creo, que, al leer las 633 paginas, podrè dejar de quejarme de [bastantes] cosas.	bastantes	HPROP
Piensa que muchos de los consumidores de drgoas como la cocaína no la usan como artículo de consumo habitual, como podría ser el tabaco, sino que lo que hacen es [ocasionalmente] pilllarla en grandes cantidades para montar fiestas bestiales en los fines de semana.	ocasionalmente	HPROP
Es un mero ejemplo,existen muchas más,aunque ya [practicamente] se han perdido.	practicamente	NH
De todas formas, a la religión en occidente aun le quedan [un par] de siglos laaaargos antes de desaparecer.	un par	HPROP
Si quieres hacer una analogía entre la vagina y el pene y compararlos con corrientes filosóficas [aparentemente] opuestas, allá tu.	aparentemente	HPROP
Yo pienso algo respecto del ser negativo pero no lo voy a decir, si [alguien] dice algo parecido a lo mejor lo diga.	alguien	HPROP
Hola berto, a mi tampoco me gusta comprar cosas ni siquiera ni gastar dinero, ni si quiera me gusta el dinero aunque tambien es cierto que si tubiese mucho mas del que tengo que es muuuuuuuuuuuyyyy poco jeje seguramente seria mas feliz porque [podria] utilizarlo para hacer muchas cosas que me gustan y que ahora no puedo.	podria	NH
A mi [usualmente] me da mas hambre cuando estoy de buen humor	usualmente	HPROP
La verdad es que no se porque piensas eso, si bien es verdad que he dado muestras de que soy de izquierdas totalmente, tambien he dado muestras de que soy independiente de cualquier partido, aunque unos me resulten mas simpaticos que otros, cosa que me [imagino] que a ti tambien te ocurre	imagino	HREL
Pero por si acaso [alguien] sobrevive -los políticos tie­nen que encargarse de esto-, lo planean a la perfección.	alguien	HPROP
Incluso suponiendo (suponiendo mal) que la vida es solo conservacion y reproduccion, esto mismo, MISMO, marca una gran diferencia entre nosotros y el robot mas complejo y mas parecido (tambien me [imagino] como se insemina a un robot).	imagino	NH
Lo de filosofia en oriente me [parece] buena idea	parece	HREL
Lo de güeis era por una tontería que usamos [a veces] una amiga y yo.	a veces	HPROP
soy extremadamente competitivo; [a veces] es una virtud, a veces es un vicio.	a veces	HPROP
"Prueba de ello es cuando se está en completa oscuridad, ¿que [se ve]? nada, ""negro""."	se ve	NH
"""No creo que Dios quiera exactamente que seamos felices, quiere que seamos capaces de amar y de ser amados, quiere que maduremos, y yo [sugiero] que precisamente porque Dios nos ama nos concedió el don de sufrir; o por decirlo de otro modo: el dolor es el megáfono que Dios utiliza para despertar a un mundo de sordos; porque somos como bloques de piedra, a partir de los cuales el escultor poco a poco va formando la figura de un hombre, los golpes de su cincel que tanto daño nos hacen también nos hacen más perfectos."""	sugiero	HREL
Es decir, una vez establecido el criterio para saber quienes son los mejores de forma democratica se establece una norma a la cual todos deben someterse, o de otro modo tendran que irse a otro lado, y si osan desafiar esta decision pues [probablemente ]terminarian en prision o algo por el estilo.	probablemente	HREL
xddd [espero] que no te refieras al pobre pablo.	espero	HREL
Pasaron seis meses entra [bastantes] aventuras que no avanzaron mucho mi investigación.	bastantes	HPROP
Todo depende de la posición filosófica que adoptemos frente a la vida, [sin duda] que para muchos saber más puede ser el equivalente a una vida más placentera.	sin duda	HREL
Y creo que [la mayoria] de la filosofía es metafísica.	la mayoria	HPROP
"A veces cuando leo debates entre personas y cuando yo mismo participo en debates sobre ""El proposito"" de la vida o de la existencia humana me encuentro con argumentos que pretenden ser validos porque algo suele ser observado [frecuentemente] por ser algo que ""La Mayoria"" comparte."	frecuentemente	HPROP
En el caso del hombre, siempre ha sido su fortaleza la creatividad e ingenio para con el medio que lo rodea, tanto así que hoy en día el humano ha perdido sus dotes físicos del pasado (fuerza, velocidad, etc), los que antes poseía con naturalidad y ahora si los quiere [debe] hacer esfuerzos para conseguirlo.	debe	NH
Bueno, [usualmente] creemos que los egos son algo intrinseco a nosotros, y que no podemos cambiar.	usualmente	HPROP
yo personalmente creo por lo que yo entiendo como alma, pero no [creo] por alma, como algo inmortal, y mucho menos como algo que retenga nuestra conciencia y emociones cuando nosotros muramos, lo unico inmortal para mi es la energia, puesto que no se puede destruir.	creo	NH
oh si como respuesta a Albert e. para mi la SGm la gano en ese orden Rusia, EEUU, China, Italia, japon, Alemania, Francia e Inglaterra; claro esta que esta guerra significo la independencia de Africa y Asia algo que [rara vez] se señala	rara vez	HPROP
Extremistas: -Ni una mierda, el menor que asesina, [deberia] inexorablemente, dejar de ser menor en el momento en que comete el delito.	deberia	NH
La acrobacia economica [sin duda] requiere de cierta habilidad y de cierto ingenio que merece ser reconocido y valorado, ya que el buen uso de una herramienta (desde el punto de vista practico) da buenos resultados cuando se trata de generar riqueza.	sin duda	HREL
bueno, me arriesgo y te lo [sugiero]...	sugiero	HREL
Dentro de la filosofía de Nietzsche, los únicos que han creado valores nuevos son los judíos y los cristianos, [seguramente] por su visión sesgada eurocentrista, pues el nuevo testamento es filosofía oriental (budismo disfrazado).	seguramente	HREL
Yo también [encuentro] incompetentes a los jueces a los que les toca juzgar los míos.	encuentro	HREL
Pues mi opinión es que la ciencia llegará a una explicación certera y completa de lo que fisiológica y biológicamente es el amor y sus motivos, explicación con la que [seguramente] estaré en pleno acuerdo.	seguramente	HREL
Eso me [suena] a un error determinista.	suena	HREL
Porqué aunque todo efecto tenga su causa,y a tal ley causal nada ni nadie se [puede] escapar.	puede	NH
Hola Raquel, se me olvidó mencionar un pequeño detalle y [confio] que óbice no sea para nuestra amistad incipiente.	confio	HREL
Esto que [suena] árido y aburrido, puede simplificarse: lo que hasta ahora era regulado por los estados, pasará a ser mercado de libre comercio.	suena	HREL
Solo es un concepto, como Justicia ([por decir algo]), Zeus como divinidad representa bastante bien a la justicia.	por decir algo	HPROP
Pero son sistemas [relativamente] jóvenes que aún se pueden optimizar mucho más y mejorar.	relativamente	HPROP
muy [frecuentemente], incluía en sí mismo el estudio de la psicología.	frecuentemente	HPROP
Entre eso y que el método de enseñanza actual [raramente] atrae a nadie.	raramente	HPROP
Hasta ahora hemos presentado las cosas como si las diferentes fuerzas luchasen y se sucediesen en relación aun objeto [casi] inerte.	casi	NH
"De forma que no solo ""nos venden el producto"", sino nos hacen vender (aunque tambien hay otras formas de ganar dinero, pero [basicamente] es la oferta de bienes y servicios)."	basicamente	HPROP
pero [confio] porque siempre pense asi	confio	HREL
El significado que los griegos atribuían a lo físico no coincide en modo [alguno] con el que hoy tiene esta palabra, sino que designa la totalidad de la realidad empírica corpórea en cuanto sometida al nacimiento y, en general, al devenir.	alguno	HPROP
si [alguien] tiene el poder para mover a la gente, puede levantarlos en armas y ordenarles saquear y destruir los bancos.	alguien	HPROP
Y le refiero nuevamente lo que he escrito sobre la aletheia y el lethos no por que quiera repetirme no para que no quede esto último dicho de Dios como fundamento no es tan fundamenta quede en el aire sin explicación alguna y además la conclusión que [asumo] que para mi es importante en este punto que ante la imposibilidad de consenso se deben fijar las posiciones:	asumo	HREL
De hecho las únicas mujeres que tienen un lugar social son las prostitutas, [generalmente] mujeres libres, que pagan sus impuestos y que frecuentan los banquetes y polemizan al mismo nivel que los hombres.	generalmente	HPROP
2,- Usted esta sujeto al tiempo,usted nació, esta viviendo y lo más [seguro] es que mañana morirá.	seguro	HREL
Y si quieres saber mas sobre delirios te [sugiero] que investigues un poco mas sobre el movimiento New Age.	sugiero	HREL
Ésta frase es la justificación de por qué lo que has dicho es demagogia, [espero] la tuya.	espero	NH
El pobre de Albert te ha repetido 3 veces lo mismo, se [debe] sentir impotente ante tu obstinación.	debe	HREL
Has dejado [varios] temas con mensajes interminables como este, y literalmente interminables, porque no los revisas y no reparas en que el copiar y pegar que haces no cabe totalmente en el espacio que se te otorga para opinar.	varios	HPROP
Sin embargo... Ya que [imagino] por donde van tus tiros... Solo por curiosidad... ¿Que opinas de ésto?:	imagino	HREL
El sistema perfecto es imposible, no puede haber un sistema eterno que funcione con las sociedades presentes y futuras, ni aún siendo verdad todas las teorías de la conspiración que circulan por ahí, nisiquiera esa gente [virtualmente] todopoderosa podría detener ese cambio.	virtualmente	HPROP
Hemos hablado también de asesinato, de cuando son personas los niños... pero [sin duda] a la madre le tiene que doler muchísimo renunciar a su condición de mamá por causas externas como las explicadas anteriormente, o porque la sociedad las estrangule tanto que esa sea su única salida.	sin duda	HREL
"Si yo [imagino] el músculo separado de sus ""efectos"", le he negado..."	imagino	NH
Fue la clásica profecía que se cumple a sí misma  [casi].	casi	NH
Así por ejemplo la ciencia solo se ocupa de este mundo físico, cambiante y constante, (causalidad) no podría por consiguiente nunca [podria] comprender en su estudio a Dios, al Eidos, substancia, etc Es más, la ciencia no podría deducir nada ni trabajar nada si no es en nuestra precomprension del Ser como identidad, unidad consigo mismo, unidad, número.	podria	NH
Me cuestionas a mi, pero para decirme pederasta machista y falocentrico a mi, tambien deberias serlo tu! Pues de lo contrario no [podrias] siquiera afirmar esto:	podrias	HREL
En realidad, casi todas las mujeres nos gustan, sólo que [mas o menos].	mas o menos	NH
Yo creo que todos (o al menos [gran parte] de nosotros) fuimos hechos para ALGO.	gran parte	HPROP
Además, para definir esa categoría [debe] existir un correlato genético o cultural que lo sustente.	debe	NH
El hombre que desconoce esa emoción, que es incapaz de maravillarse y sentir el encanto y el asombro, está [practicamente] muerto.	practicamente	HPROP
Sé que estas preguntas no las hacemos desde el principio de los tiempos, pero yo [propongo] seguirlas descartando la religión que lo único que hace, es entorpecernos en nuestro camino del pensamiento.	propongo	HREL
Ello dependerá de [multiples] factores.	multiples	HPROP
Para que sea universal [debe] ser una ley, no que sea cierta y justificada.	debe	NH
Lo que veo fatal es que una minoria mande a una mayoria; incluso imaginando un ayuntamiento donde la minoria es española y la mayoria inmigrante, no veo claro, aunque tampoco lo descarto del todo, que esa minoria se imponga a [la mayoria].	la mayoria	NH
aunque uno no lo vea o no le parezca, cambiamos la forma de ser..tiene que ver con la madurez y la edad..al menos yo con 37 años agradezco el cambio que he tenido..de lo contrario si hubiera [seguido] siendo como en algun momento lo fuí...esto quizás nadie lo hubiera leido.	seguido	NH
Ay dios mio si, [hay quien] quiere morirse	hay quien	HPROP
Así que da igual si la gente decide dedicarse al fornicio o a la matanza, será [seguramente] virtual con un realismo prácticamente completo.	seguramente	HREL
No es [poco] oportuno hablar de arena, en todo caso, de relojes de arena.	poco	HPROP
"Entonces, corrupción no es ""aprovechamiento de poder"" sino que significa que se aprovecha el poder de forma tal que se lo utiliza de forma contraria a la que supuestamente [deberia] aprovecharlo."	deberia	NH
Eso es [virtualmente] imposible.	virtualmente	HPROP
"O [quien sabe], quizá y ellos simplemente ""hacen"" cosas que para nosotros son incomprensibles y nosotros somos los que le ponemos la ""etiqueta"" de milagro."	quien sabe	HREL
No sé por qué [encuentro] relación con estas palabras...:	encuentro	HREL
No tienes por que creerme a mi, aca te pongo [un par] de referencias (solo una cantidad infima, de la inmensidad de publicaciones, papers, libros, etc, que se escribio sobre teoria del caos, sistemas complejos, redes complejas, grafos, sistemas dinamicos, teoria de la informacion, y demas temas relacionados):	un par	HPROP
Ahora bien, si tu quieres a una persona y DECIDEs libremente tener una relaccion con esa persona y comprometerte, ahi es otra cosa, puesto que lo que eliges es comprometerte, y comprometerte significa que en situciones como esta que describes, seras fiel, apoyaras a la persona querida y demas, de todas formas como sugerencia, si tanto deseo sientes por tu vecina quizas [deberias] plantearte tu situaicon actual cn tu novia si esta ya no te atrae, o simplemente te atrae mas otra, experimentar es sano.	deberias	HREL
"Esta es la concepcion mecanica del eterno retorno, cuando se habla del ""eterno retorno de lo mismo"" se acude necesariamente al mecanicismo (la conbinacion de la fuerzas es finita y en algun momento se tendra que repetir [alguna]), si luxfero es un defensor del mecanicismo, no le parecera tan malo esta concepcion de eterno retorno."	alguna	HPROP
Cree lo que quieras, realmente me importa [poco] y nada lo que pienses fuera del foro.	poco	NH
¿Que quieren introducir diversidad en las señales de tráfico?.....PUES QUE PIENSEN Y HAGAN LO QUE QUIERAAAAAAAAAAAAAAAAAAAAAAAAN XD (entendiendo todos que soy consciente de que no me puedo desentender del todo del todo, porque [quien sabe] si yo llegaré a tener problemas con mi sueldo cuando me toque currar, que es básicamente lo único que me importa).	quien sabe	HREL
Coherente [puede] significar muchas cosas:que una teoria sea coherente significa que las proposiciones que contiene no deben entrar en contradiccion logica,esas proposiciones deben respetar modelos matematicos y ciertas leyes fisicas fundamentales,y deben ser representadas matematicamente;y todas las hipotesis deben ser en cierta formas contrastables con la experiencia.Asi lo veo yo.	puede	HREL
Cómo nota, yo estudio, pero llevo más de un año sin encontrar un trabajo, el último que tuve fue trabajando 12 horas más horas extras no pagadas, sin contrato, y cobrando 400... pero este año, en la aceituna que es donde realmente se ganaba dinero para [gran parte] del año... Ni eso, en vez de pagar 50 jornal a un trabajador español (el año pasado ya me pagaron a mi 40  y no 50), prefieren llevarse a inmigrantes y pagarles la mitad.	gran parte	HPROP
Para dar voz a [la mayoria] de los ciudadanos del mundo que no están a favor de las guerras ni de la carrera de armamento.	la mayoria	HPROP
- Un televisor con relog / o / Un reproductor de musica con relog / o / Un celular con relog que reproduzca mp3 ([alguno] de los tres)	alguno	NH
"Esa es una de las razones por las cuales nos han resultado utiles nuestros prejuicios, porque nos han ayudado a construir maquinas, pero estas maquinas tienen que someterse a una revision constante llamada ""mantenimiento"" porque son vulnerables al cambio, y si no hacemos un uso ""adecuado"" de ellas serian victimas de toda la cantidad de desorden y caos que [puede] llegar a haber en la realidad sin la intervencion de nuestros prejuicios y demandas morales y esteticas."	puede	HREL
Por cierto, uno no convence al drogadicto de que debe ser salvado, es cuando este pierde a su familia, a sus amigos, lo pierde todo, que empieza a sospechar que... [tal vez] hay algo que esta un poquito mal...	tal vez	HREL
Estaba siendo el mes de abril más frío del siglo y los árboles que circundaban la facultad de química todavía [no se] atrevían a florecer.	no se	NH
Samael es [usualmente] considerado como el verdadero nombre de Satán.	usualmente	HPROP
"Queria contaros, no se si sere rara, que casi todos los dias, estoy hablando y [de repente] digo algo especial, (por excentrico,o justo, o poetico, o certero, o ironico, etc) y a continuacion añado: ""es mi frase del dia""."	de repente	HPROP
Es lo que [entiendo], y si lo estoy entendiendo mal necesito una aclaración mejor	entiendo	HREL
Yo [particularmente] esperaría una sociedad que como mínimo contara con todas las personas que forman parte de ella, una sociedad que parte de que unos valen y otro no según el criterio empresarial, no me convence.	particularmente	NH
"A mí en casos como éste me viene a la mente la frase que escribió Orwell en el prólogo de Rebelión en la Granja, que venía a decir ""hagan del encarcelamiento de fascistas sin juicio previo una costumbre, y pronto [no se] aplicará sólo a los fascistas""."	no se	NH
Po supuesto que lo enfoco no como deseo, sino como lo [pienso]; no es un argumento para convencer a nadie, sino mi opinión, al igual que la suya:	pienso	NH
Cuando la base de [algun] razonamiento es una interpretación personal del mundo (normalmente en ultimo termino así es) se desbloquea la entrada a muchas otras opciones, siempre teniendo en cuenta minimos que exlcuyan el relativismo total.	algun	HPROP
Sin embargo y quiero aclarar que en mi valoración personal, la técnica (a pesar de ser relativa a la cultura de la cual provenga) me resulta más impresiva debido a que es una ciencia que todos podemos comprender (y de aquí mi idea de que el arte es creado por artistas para artistas) y valorar con mayor afinidad, mientras que el puro talento da lugar a la libre interpretación (lo que conlleva no entender siempre la intención del autor), por esto el arte francamente [no se] puede dar sin estas dos cualidades, aunque predomine una u otra dependiendo del artista, o bien el talentoso no podrá igualar las curiosidades científicas del artista técnico, o bien este otro no podrá dotar a sus obras de una personalidad y abstractividad mayor, que no están tan al alcance de la técnica.	no se	NH
"Si [entiendo], pero cuando se trata de lucha y de guerra siempre he utilizado ""mejor"" como sinonimo de ventaja/estrategia."	entiendo	NH
Como que no  en que mundo vives, existen multitud de documentos, desde los documentos romanos que demuestran la existencia de Jesucristo, hasta los [multiples] testimonios y milagros sellados por cientificos que no son capaces de explicarlo, hoy en dia.	multiples	HPROP
No se si [deberia] escribir esto.	deberia	HREL
